FID,lat1,lon1,lat2,lon2
261,20.322,109.975,20.332,109.985
262,20.322,109.985,20.332,109.995
263,20.322,109.995,20.332,110.005
264,20.322,110.005,20.332,110.015
265,20.322,110.015,20.332,110.025
266,20.322,110.025,20.332,110.035
267,20.322,110.035,20.332,110.045
268,20.322,110.045,20.332,110.055
269,20.322,110.055,20.332,110.065
270,20.322,110.065,20.332,110.075
271,20.322,110.075,20.332,110.085
272,20.322,110.085,20.332,110.095
273,20.322,110.095,20.332,110.105
274,20.322,110.105,20.332,110.115
275,20.322,110.115,20.332,110.125
276,20.322,110.125,20.332,110.135
277,20.322,110.135,20.332,110.145
278,20.322,110.145,20.332,110.155
279,20.322,110.155,20.332,110.165
280,20.322,110.165,20.332,110.175
281,20.322,110.175,20.332,110.185
282,20.322,110.185,20.332,110.195
283,20.322,110.195,20.332,110.205
284,20.322,110.205,20.332,110.215
285,20.322,110.215,20.332,110.225
286,20.322,110.225,20.332,110.235
287,20.322,110.235,20.332,110.245
288,20.322,110.245,20.332,110.255
289,20.322,110.255,20.332,110.265
290,20.322,110.265,20.332,110.275
291,20.322,110.275,20.332,110.285
292,20.322,110.285,20.332,110.295
293,20.322,110.295,20.332,110.305
294,20.322,110.305,20.332,110.315
295,20.322,110.315,20.332,110.325
296,20.322,110.325,20.332,110.335
297,20.322,110.335,20.332,110.345
298,20.322,110.345,20.332,110.355
299,20.322,110.355,20.332,110.365
300,20.322,110.365,20.332,110.375
301,20.322,110.375,20.332,110.385
302,20.322,110.385,20.332,110.395
303,20.322,110.395,20.332,110.405
304,20.322,110.405,20.332,110.415
305,20.322,110.415,20.332,110.425
306,20.322,110.425,20.332,110.435
307,20.332,109.925,20.342,109.935
308,20.332,109.935,20.342,109.945
309,20.332,109.945,20.342,109.955
310,20.332,109.955,20.342,109.965
311,20.332,109.965,20.342,109.975
312,20.332,109.975,20.342,109.985
313,20.332,109.985,20.342,109.995
314,20.332,109.995,20.342,110.005
315,20.332,110.005,20.342,110.015
316,20.332,110.015,20.342,110.025
317,20.332,110.025,20.342,110.035
318,20.332,110.035,20.342,110.045
319,20.332,110.045,20.342,110.055
320,20.332,110.055,20.342,110.065
321,20.332,110.065,20.342,110.075
322,20.332,110.075,20.342,110.085
323,20.332,110.085,20.342,110.095
324,20.332,110.095,20.342,110.105
325,20.332,110.105,20.342,110.115
326,20.332,110.115,20.342,110.125
327,20.332,110.125,20.342,110.135
328,20.332,110.135,20.342,110.145
329,20.332,110.145,20.342,110.155
330,20.332,110.155,20.342,110.165
331,20.332,110.165,20.342,110.175
332,20.332,110.175,20.342,110.185
333,20.332,110.185,20.342,110.195
334,20.332,110.195,20.342,110.205
335,20.332,110.205,20.342,110.215
336,20.332,110.215,20.342,110.225
337,20.332,110.225,20.342,110.235
338,20.332,110.235,20.342,110.245
339,20.332,110.245,20.342,110.255
340,20.332,110.255,20.342,110.265
341,20.332,110.265,20.342,110.275
342,20.332,110.275,20.342,110.285
343,20.332,110.285,20.342,110.295
344,20.332,110.295,20.342,110.305
345,20.332,110.305,20.342,110.315
346,20.332,110.315,20.342,110.325
347,20.332,110.325,20.342,110.335
348,20.332,110.335,20.342,110.345
349,20.332,110.345,20.342,110.355
350,20.332,110.355,20.342,110.365
351,20.332,110.365,20.342,110.375
352,20.332,110.375,20.342,110.385
353,20.332,110.385,20.342,110.395
354,20.332,110.395,20.342,110.405
355,20.332,110.405,20.342,110.415
356,20.332,110.415,20.342,110.425
357,20.332,110.425,20.342,110.435
358,20.332,110.435,20.342,110.445
359,20.342,109.915,20.352,109.925
360,20.342,109.925,20.352,109.935
361,20.342,109.935,20.352,109.945
362,20.342,109.945,20.352,109.955
363,20.342,109.955,20.352,109.965
364,20.342,109.965,20.352,109.975
365,20.342,109.975,20.352,109.985
366,20.342,109.985,20.352,109.995
367,20.342,109.995,20.352,110.005
368,20.342,110.005,20.352,110.015
369,20.342,110.015,20.352,110.025
370,20.342,110.025,20.352,110.035
371,20.342,110.035,20.352,110.045
372,20.342,110.045,20.352,110.055
373,20.342,110.055,20.352,110.065
374,20.342,110.065,20.352,110.075
375,20.342,110.075,20.352,110.085
376,20.342,110.085,20.352,110.095
377,20.342,110.095,20.352,110.105
378,20.342,110.105,20.352,110.115
379,20.342,110.115,20.352,110.125
380,20.342,110.125,20.352,110.135
381,20.342,110.135,20.352,110.145
382,20.342,110.145,20.352,110.155
383,20.342,110.155,20.352,110.165
384,20.342,110.165,20.352,110.175
385,20.342,110.175,20.352,110.185
386,20.342,110.185,20.352,110.195
387,20.342,110.195,20.352,110.205
388,20.342,110.205,20.352,110.215
389,20.342,110.215,20.352,110.225
390,20.342,110.225,20.352,110.235
391,20.342,110.235,20.352,110.245
392,20.342,110.245,20.352,110.255
393,20.342,110.255,20.352,110.265
394,20.342,110.265,20.352,110.275
395,20.342,110.275,20.352,110.285
396,20.342,110.285,20.352,110.295
397,20.342,110.295,20.352,110.305
398,20.342,110.305,20.352,110.315
399,20.342,110.315,20.352,110.325
400,20.342,110.325,20.352,110.335
401,20.342,110.335,20.352,110.345
402,20.342,110.345,20.352,110.355
403,20.342,110.355,20.352,110.365
404,20.342,110.365,20.352,110.375
405,20.342,110.375,20.352,110.385
406,20.342,110.385,20.352,110.395
407,20.342,110.395,20.352,110.405
408,20.342,110.405,20.352,110.415
409,20.342,110.415,20.352,110.425
410,20.342,110.425,20.352,110.435
411,20.342,110.435,20.352,110.445
412,20.342,110.565,20.352,110.575
413,20.352,109.905,20.362,109.915
414,20.352,109.915,20.362,109.925
415,20.352,109.925,20.362,109.935
416,20.352,109.935,20.362,109.945
417,20.352,109.945,20.362,109.955
418,20.352,109.955,20.362,109.965
419,20.352,109.965,20.362,109.975
420,20.352,109.975,20.362,109.985
421,20.352,109.985,20.362,109.995
422,20.352,109.995,20.362,110.005
423,20.352,110.005,20.362,110.015
424,20.352,110.015,20.362,110.025
425,20.352,110.025,20.362,110.035
426,20.352,110.035,20.362,110.045
427,20.352,110.045,20.362,110.055
428,20.352,110.055,20.362,110.065
429,20.352,110.065,20.362,110.075
430,20.352,110.075,20.362,110.085
431,20.352,110.085,20.362,110.095
432,20.352,110.095,20.362,110.105
433,20.352,110.105,20.362,110.115
434,20.352,110.115,20.362,110.125
435,20.352,110.125,20.362,110.135
436,20.352,110.135,20.362,110.145
437,20.352,110.145,20.362,110.155
438,20.352,110.155,20.362,110.165
439,20.352,110.165,20.362,110.175
440,20.352,110.175,20.362,110.185
441,20.352,110.185,20.362,110.195
442,20.352,110.195,20.362,110.205
443,20.352,110.205,20.362,110.215
444,20.352,110.215,20.362,110.225
445,20.352,110.225,20.362,110.235
446,20.352,110.235,20.362,110.245
447,20.352,110.245,20.362,110.255
448,20.352,110.255,20.362,110.265
449,20.352,110.265,20.362,110.275
450,20.352,110.275,20.362,110.285
451,20.352,110.285,20.362,110.295
452,20.352,110.295,20.362,110.305
453,20.352,110.305,20.362,110.315
454,20.352,110.315,20.362,110.325
455,20.352,110.325,20.362,110.335
456,20.352,110.335,20.362,110.345
457,20.352,110.345,20.362,110.355
458,20.352,110.355,20.362,110.365
459,20.352,110.365,20.362,110.375
460,20.352,110.375,20.362,110.385
461,20.352,110.385,20.362,110.395
462,20.352,110.395,20.362,110.405
463,20.352,110.405,20.362,110.415
464,20.352,110.415,20.362,110.425
465,20.352,110.425,20.362,110.435
466,20.352,110.435,20.362,110.445
467,20.352,110.445,20.362,110.455
468,20.352,110.575,20.362,110.585
469,20.362,109.885,20.372,109.895
470,20.362,109.895,20.372,109.905
471,20.362,109.905,20.372,109.915
472,20.362,109.915,20.372,109.925
473,20.362,109.925,20.372,109.935
474,20.362,109.935,20.372,109.945
475,20.362,109.945,20.372,109.955
476,20.362,109.955,20.372,109.965
477,20.362,109.965,20.372,109.975
478,20.362,109.985,20.372,109.995
479,20.362,109.995,20.372,110.005
480,20.362,110.005,20.372,110.015
481,20.362,110.015,20.372,110.025
482,20.362,110.025,20.372,110.035
483,20.362,110.035,20.372,110.045
484,20.362,110.045,20.372,110.055
485,20.362,110.055,20.372,110.065
486,20.362,110.065,20.372,110.075
487,20.362,110.075,20.372,110.085
488,20.362,110.085,20.372,110.095
489,20.362,110.095,20.372,110.105
490,20.362,110.105,20.372,110.115
491,20.362,110.115,20.372,110.125
492,20.362,110.125,20.372,110.135
493,20.362,110.135,20.372,110.145
494,20.362,110.145,20.372,110.155
495,20.362,110.155,20.372,110.165
496,20.362,110.165,20.372,110.175
497,20.362,110.175,20.372,110.185
498,20.362,110.185,20.372,110.195
499,20.362,110.195,20.372,110.205
500,20.362,110.205,20.372,110.215
501,20.362,110.215,20.372,110.225
502,20.362,110.225,20.372,110.235
503,20.362,110.235,20.372,110.245
504,20.362,110.245,20.372,110.255
505,20.362,110.255,20.372,110.265
506,20.362,110.265,20.372,110.275
507,20.362,110.275,20.372,110.285
508,20.362,110.285,20.372,110.295
509,20.362,110.295,20.372,110.305
510,20.362,110.305,20.372,110.315
511,20.362,110.315,20.372,110.325
512,20.362,110.325,20.372,110.335
513,20.362,110.335,20.372,110.345
514,20.362,110.345,20.372,110.355
515,20.362,110.355,20.372,110.365
516,20.362,110.365,20.372,110.375
517,20.362,110.375,20.372,110.385
518,20.362,110.385,20.372,110.395
519,20.362,110.395,20.372,110.405
520,20.362,110.405,20.372,110.415
521,20.362,110.415,20.372,110.425
522,20.362,110.425,20.372,110.435
523,20.362,110.435,20.372,110.445
524,20.362,110.445,20.372,110.455
525,20.362,110.455,20.372,110.465
526,20.362,110.575,20.372,110.585
527,20.362,110.585,20.372,110.595
528,20.372,109.875,20.382,109.885
529,20.372,109.885,20.382,109.895
530,20.372,109.895,20.382,109.905
531,20.372,109.905,20.382,109.915
532,20.372,109.915,20.382,109.925
533,20.372,109.925,20.382,109.935
534,20.372,109.935,20.382,109.945
535,20.372,109.945,20.382,109.955
536,20.372,109.955,20.382,109.965
537,20.372,109.965,20.382,109.975
538,20.372,109.985,20.382,109.995
539,20.372,109.995,20.382,110.005
540,20.372,110.005,20.382,110.015
541,20.372,110.015,20.382,110.025
542,20.372,110.025,20.382,110.035
543,20.372,110.035,20.382,110.045
544,20.372,110.045,20.382,110.055
545,20.372,110.055,20.382,110.065
546,20.372,110.065,20.382,110.075
547,20.372,110.075,20.382,110.085
548,20.372,110.085,20.382,110.095
549,20.372,110.095,20.382,110.105
550,20.372,110.105,20.382,110.115
551,20.372,110.115,20.382,110.125
552,20.372,110.125,20.382,110.135
553,20.372,110.135,20.382,110.145
554,20.372,110.145,20.382,110.155
555,20.372,110.155,20.382,110.165
556,20.372,110.165,20.382,110.175
557,20.372,110.175,20.382,110.185
558,20.372,110.185,20.382,110.195
559,20.372,110.195,20.382,110.205
560,20.372,110.205,20.382,110.215
561,20.372,110.215,20.382,110.225
562,20.372,110.225,20.382,110.235
563,20.372,110.235,20.382,110.245
564,20.372,110.245,20.382,110.255
565,20.372,110.255,20.382,110.265
566,20.372,110.265,20.382,110.275
567,20.372,110.275,20.382,110.285
568,20.372,110.285,20.382,110.295
569,20.372,110.295,20.382,110.305
570,20.372,110.305,20.382,110.315
571,20.372,110.315,20.382,110.325
572,20.372,110.325,20.382,110.335
573,20.372,110.335,20.382,110.345
574,20.372,110.345,20.382,110.355
575,20.372,110.355,20.382,110.365
576,20.372,110.365,20.382,110.375
577,20.372,110.375,20.382,110.385
578,20.372,110.385,20.382,110.395
579,20.372,110.395,20.382,110.405
580,20.372,110.405,20.382,110.415
581,20.372,110.415,20.382,110.425
582,20.372,110.425,20.382,110.435
583,20.372,110.435,20.382,110.445
584,20.372,110.445,20.382,110.455
585,20.372,110.455,20.382,110.465
586,20.382,109.875,20.392,109.885
587,20.382,109.885,20.392,109.895
588,20.382,109.895,20.392,109.905
589,20.382,109.905,20.392,109.915
590,20.382,109.915,20.392,109.925
591,20.382,109.925,20.392,109.935
592,20.382,109.935,20.392,109.945
593,20.382,109.945,20.392,109.955
594,20.382,109.955,20.392,109.965
595,20.382,109.995,20.392,110.005
596,20.382,110.005,20.392,110.015
597,20.382,110.015,20.392,110.025
598,20.382,110.025,20.392,110.035
599,20.382,110.035,20.392,110.045
600,20.382,110.045,20.392,110.055
601,20.382,110.055,20.392,110.065
602,20.382,110.065,20.392,110.075
603,20.382,110.075,20.392,110.085
604,20.382,110.085,20.392,110.095
605,20.382,110.095,20.392,110.105
606,20.382,110.105,20.392,110.115
607,20.382,110.115,20.392,110.125
608,20.382,110.125,20.392,110.135
609,20.382,110.135,20.392,110.145
610,20.382,110.145,20.392,110.155
611,20.382,110.155,20.392,110.165
612,20.382,110.165,20.392,110.175
613,20.382,110.175,20.392,110.185
614,20.382,110.185,20.392,110.195
615,20.382,110.195,20.392,110.205
616,20.382,110.205,20.392,110.215
617,20.382,110.215,20.392,110.225
618,20.382,110.225,20.392,110.235
619,20.382,110.235,20.392,110.245
620,20.382,110.245,20.392,110.255
621,20.382,110.255,20.392,110.265
622,20.382,110.265,20.392,110.275
623,20.382,110.275,20.392,110.285
624,20.382,110.285,20.392,110.295
625,20.382,110.295,20.392,110.305
626,20.382,110.305,20.392,110.315
627,20.382,110.315,20.392,110.325
628,20.382,110.325,20.392,110.335
629,20.382,110.335,20.392,110.345
630,20.382,110.345,20.392,110.355
631,20.382,110.355,20.392,110.365
632,20.382,110.365,20.392,110.375
633,20.382,110.375,20.392,110.385
634,20.382,110.385,20.392,110.395
635,20.382,110.395,20.392,110.405
636,20.382,110.405,20.392,110.415
637,20.382,110.415,20.392,110.425
638,20.382,110.425,20.392,110.435
639,20.382,110.435,20.392,110.445
640,20.382,110.445,20.392,110.455
641,20.382,110.455,20.392,110.465
642,20.382,110.465,20.392,110.475
643,20.392,109.875,20.402,109.885
644,20.392,109.885,20.402,109.895
645,20.392,109.895,20.402,109.905
646,20.392,109.905,20.402,109.915
647,20.392,109.915,20.402,109.925
648,20.392,109.925,20.402,109.935
649,20.392,109.935,20.402,109.945
650,20.392,109.945,20.402,109.955
651,20.392,109.955,20.402,109.965
652,20.392,109.965,20.402,109.975
653,20.392,110.005,20.402,110.015
654,20.392,110.015,20.402,110.025
655,20.392,110.025,20.402,110.035
656,20.392,110.035,20.402,110.045
657,20.392,110.045,20.402,110.055
658,20.392,110.055,20.402,110.065
659,20.392,110.065,20.402,110.075
660,20.392,110.075,20.402,110.085
661,20.392,110.085,20.402,110.095
662,20.392,110.095,20.402,110.105
663,20.392,110.105,20.402,110.115
664,20.392,110.115,20.402,110.125
665,20.392,110.125,20.402,110.135
666,20.392,110.135,20.402,110.145
667,20.392,110.145,20.402,110.155
668,20.392,110.155,20.402,110.165
669,20.392,110.165,20.402,110.175
670,20.392,110.175,20.402,110.185
671,20.392,110.185,20.402,110.195
672,20.392,110.195,20.402,110.205
673,20.392,110.205,20.402,110.215
674,20.392,110.215,20.402,110.225
675,20.392,110.225,20.402,110.235
676,20.392,110.235,20.402,110.245
677,20.392,110.245,20.402,110.255
678,20.392,110.255,20.402,110.265
679,20.392,110.265,20.402,110.275
680,20.392,110.275,20.402,110.285
681,20.392,110.285,20.402,110.295
682,20.392,110.295,20.402,110.305
683,20.392,110.305,20.402,110.315
684,20.392,110.315,20.402,110.325
685,20.392,110.325,20.402,110.335
686,20.392,110.335,20.402,110.345
687,20.392,110.345,20.402,110.355
688,20.392,110.355,20.402,110.365
689,20.392,110.365,20.402,110.375
690,20.392,110.375,20.402,110.385
691,20.392,110.385,20.402,110.395
692,20.392,110.395,20.402,110.405
693,20.392,110.405,20.402,110.415
694,20.392,110.415,20.402,110.425
695,20.392,110.425,20.402,110.435
696,20.392,110.435,20.402,110.445
697,20.392,110.445,20.402,110.455
698,20.392,110.455,20.402,110.465
699,20.392,110.465,20.402,110.475
700,20.402,109.865,20.412,109.875
701,20.402,109.895,20.412,109.905
702,20.402,109.905,20.412,109.915
703,20.402,109.915,20.412,109.925
704,20.402,109.925,20.412,109.935
