"πÿ¡™ID","Ã®∑Á±‡∫≈","÷–Œƒ√˚","”¢Œƒ√˚","‘§±® ±º‰( ¿ΩÁ ±)","‘§±® ±¥Œ£®–° ±£©","«ø∂»","Œ≥∂»","æ≠∂»","∑ÁÀŸ(m/s)","’Û∑Á£®m/s£©","∆¯—π£®∞Ÿ≈¡£©","“∆œÚ(∂»)","“∆ÀŸ(km/h)","6º∂∑Á»¶(km)","7º∂∑Á»¶(km)","8º∂∑Á»¶(km)","10º∂∑Á»¶(km)"
"TSID","TCID","TSCNAME","TSENAME","DDATETIME","LEADTIME","TCRANK","LATITUDE","LONGITUDE","WINDSPEED","GUST","PRESSURE","DIRECTION","SPEED","RR06","RR07","RR08","RR10"
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","72","STS","21.50","107.60","28","36","982","306","14","380","270","170",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","96","TD","23.70","106","16","21","1002","325","12","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","06","TS","17.35","117.95","23","28","990","305","20","290","190","100",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","12","STS","18","117","28","36","982","305","20","350","230","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","18","STS","18.35","115.90","28","36","982","288","20","350","230","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","24","TY","18.80","114.80","33","43","975","290","20","380","250","140","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","36","TY","19.50","112.60","35","45","970","288","20","400","260","150","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","48","TY","20.30","110.40","35","45","970","290","21","400","260","150","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","60","TY","21.20","108.60","35","45","970","299","17","400","260","150","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","72","STS","22","107.50","25","33","985","307","12","300","200","110",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 6:00:00","96","TD","24.10","106.60","12","17","1003","337","10","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","06","STS","17.40","117.50","25","33","985","299","18","300","200","110",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","12","STS","18","116.40","28","36","982","299","22","320","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","18","STS","18.50","115.50","30","38","980","299","18","340","240","140","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","24","TY","18.90","114.30","33","43","975","291","22","350","250","150","90"
