TSID,TCID,TSCNAME,TSENAME,DDATETIME,LEADTIME,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
117,1417,????,KALMAEGI,9/14/2014 15:00,48,TY,21.9,108.2,38,48,965,289,28,450,340,240,100
117,1417,????,KALMAEGI,9/14/2014 15:00,60,TS,22.5,105.1,23,28,985,282,27,300,200,100,
117,1417,????,KALMAEGI,9/14/2014 15:00,72,TD,23,102.2,16,21,1000,280,25,,,,
117,1417,????,KALMAEGI,9/14/2014 18:00,12,TY,19.2,116.8,40,50,960,285,32,460,340,240,120
117,1417,????,KALMAEGI,9/14/2014 18:00,24,STY,20.1,113.6,45,55,950,286,29,480,360,260,140
117,1417,????,KALMAEGI,9/14/2014 18:00,36,STY,21.2,110.4,48,58,945,289,29,500,380,280,160
117,1417,????,KALMAEGI,9/14/2014 18:00,48,TY,21.9,107.4,35,45,970,285,26,450,320,220,100
117,1417,????,KALMAEGI,9/14/2014 18:00,60,TS,22.6,104.3,20,25,995,283,25,280,180,,
117,1417,????,KALMAEGI,9/14/2014 18:00,72,TD,23.2,101.6,16,21,1000,283,23,,,,
117,1417,????,KALMAEGI,9/14/2014 21:00,12,STY,19.2,115.8,42,52,955,286,29,480,360,260,140
117,1417,????,KALMAEGI,9/14/2014 21:00,24,STY,20.3,112.5,48,58,945,289,30,500,380,280,160
117,1417,????,KALMAEGI,9/14/2014 21:00,36,STY,21.4,109.2,42,52,955,289,30,480,360,260,140
117,1417,????,KALMAEGI,9/14/2014 21:00,48,TS,22.1,106.3,23,28,990,284,25,330,230,100,
117,1417,????,KALMAEGI,9/14/2014 21:00,60,TS,22.7,103.6,20,25,995,283,23,250,150,,
117,1417,????,KALMAEGI,9/14/2014 21:00,72,TD,23.1,100.9,12,17,1004,279,23,,,,
117,1417,????,KALMAEGI,9/15/2014 0:00,12,STY,19.3,114.9,42,52,955,291,30,480,360,260,140
117,1417,????,KALMAEGI,9/15/2014 0:00,24,STY,20.4,111.7,48,58,945,290,30,500,380,280,160
117,1417,????,KALMAEGI,9/15/2014 0:00,36,STY,21.4,108.5,42,52,955,288,29,480,360,260,140
117,1417,????,KALMAEGI,9/15/2014 0:00,48,TS,22.2,105.5,23,28,990,282,25,330,230,100,
117,1417,????,KALMAEGI,9/15/2014 0:00,60,TS,22.7,103,20,25,995,281,22,300,190,,
117,1417,????,KALMAEGI,9/15/2014 0:00,72,TD,23.2,100.7,12,17,1004,281,19,,,,
117,1417,????,KALMAEGI,9/15/2014 3:00,12,STY,19.3,114,42,52,955,293,30,590,470,320,140
117,1417,????,KALMAEGI,9/15/2014 3:00,24,STY,20.5,110.8,48,58,945,291,29,600,480,330,170
117,1417,????,KALMAEGI,9/15/2014 3:00,36,TY,21.6,107.9,40,50,960,291,27,580,460,260,130
117,1417,????,KALMAEGI,9/15/2014 3:00,48,TS,22.4,105.3,23,28,990,288,23,350,230,120,
117,1417,????,KALMAEGI,9/15/2014 3:00,60,TS,22.8,103,18,23,998,279,19,280,170,,
117,1417,????,KALMAEGI,9/15/2014 3:00,72,TD,23.2,100.6,12,17,1004,280,20,,,,
117,1417,????,KALMAEGI,9/15/2014 6:00,12,STY,19.7,113.1,45,55,950,292,32,600,480,350,150
117,1417,????,KALMAEGI,9/15/2014 6:00,24,STY,20.7,110.3,45,55,950,290,26,600,480,350,150
117,1417,????,KALMAEGI,9/15/2014 6:00,36,TY,21.6,107.7,38,46,965,290,24,570,450,320,120
117,1417,????,KALMAEGI,9/15/2014 6:00,48,TS,22.4,105.1,20,25,995,288,23,350,230,,
117,1417,????,KALMAEGI,9/15/2014 6:00,60,TD,22.7,103.4,15,20,1000,280,14,120,,,
117,1417,????,KALMAEGI,9/15/2014 6:00,72,TD,23.2,100.7,12,17,1004,281,23,,,,
117,1417,????,KALMAEGI,9/15/2014 9:00,12,STY,20.2,111.9,42,52,955,292,34,600,480,350,140
117,1417,????,KALMAEGI,9/15/2014 9:00,24,STY,21.2,108.9,42,52,955,289,27,600,480,350,140
117,1417,????,KALMAEGI,9/15/2014 9:00,36,STS,22.1,105.9,25,33,985,287,27,450,300,140,
117,1417,????,KALMAEGI,9/15/2014 9:00,48,TD,22.7,102.6,16,21,1002,281,28,,,,
117,1417,????,KALMAEGI,9/15/2014 12:00,12,STY,20,111.5,50,63,940,292,30,640,500,380,180
117,1417,????,KALMAEGI,9/15/2014 12:00,24,STY,21.4,108.4,42,52,955,294,29,600,480,340,140
117,1417,????,KALMAEGI,9/15/2014 12:00,36,STS,22.1,105.3,25,33,985,285,26,350,290,140,
117,1417,????,KALMAEGI,9/15/2014 12:00,48,TD,22.5,101.6,16,21,1002,276,31,,,,
