Id,glat,glon,lat1,lon1,lat2,lon2,vmax_gust,vmax_sust,gust_dur,sust_dur
126,20.297,110,20.292,109.995,20.302,110.005,53.91598583,36.18522539,810,360
127,20.297,110.01,20.292,110.005,20.302,110.015,53.95993735,36.21472305,810,360
128,20.297,110.02,20.292,110.015,20.302,110.025,54.47409621,36.55979611,795,375
129,20.297,110.03,20.292,110.025,20.302,110.035,54.1635953,36.35140624,825,375
130,20.297,110.04,20.292,110.035,20.302,110.045,53.76999849,36.08724731,825,375
131,20.297,110.05,20.292,110.045,20.302,110.055,53.35373473,35.80787566,825,390
132,20.297,110.06,20.292,110.055,20.302,110.065,53.18507813,35.69468331,825,375
133,20.297,110.07,20.292,110.065,20.302,110.075,54.01455491,36.25137914,840,360
134,20.297,110.08,20.292,110.075,20.302,110.085,54.43010026,36.53026863,825,375
135,20.297,110.09,20.292,110.085,20.302,110.095,54.4899222,36.57041759,825,375
136,20.297,110.1,20.292,110.095,20.302,110.105,54.88313417,36.83431823,840,375
137,20.297,110.11,20.292,110.105,20.302,110.115,54.53744757,36.6023138,840,375
138,20.297,110.12,20.292,110.115,20.302,110.125,54.10091803,36.30934096,840,390
139,20.297,110.13,20.292,110.125,20.302,110.135,53.64399724,36.00268271,870,405
140,20.297,110.14,20.292,110.135,20.302,110.145,54.46079125,36.55086661,870,405
141,20.297,110.15,20.292,110.145,20.302,110.155,54.84067743,36.80582378,870,405
142,20.297,110.16,20.292,110.155,20.302,110.165,54.85133759,36.81297825,870,405
143,20.297,110.17,20.292,110.165,20.302,110.175,55.08533391,36.97002276,885,405
144,20.297,110.18,20.292,110.175,20.302,110.185,54.68465329,36.70110959,915,405
145,20.297,110.19,20.292,110.185,20.302,110.195,54.32628944,36.46059694,930,405
146,20.297,110.2,20.292,110.195,20.302,110.205,54.93429539,36.86865462,930,420
147,20.297,110.21,20.292,110.205,20.302,110.215,55.11554742,36.99030028,915,435
148,20.297,110.22,20.292,110.215,20.302,110.225,55.3296592,37.13399946,930,450
149,20.297,110.23,20.292,110.225,20.302,110.235,54.9708066,36.89315879,930,450
150,20.297,110.24,20.292,110.235,20.302,110.245,55.0005381,36.91311282,930,435
151,20.297,110.25,20.292,110.245,20.302,110.255,55.2095761,37.05340678,915,450
152,20.297,110.26,20.292,110.255,20.302,110.265,55.33048487,37.1345536,915,450
153,20.297,110.27,20.292,110.265,20.302,110.275,54.98811548,36.90477549,930,480
154,20.297,110.28,20.292,110.275,20.302,110.285,55.23734455,37.07204332,930,510
155,20.297,110.29,20.292,110.285,20.302,110.295,55.30540368,37.11772059,930,510
156,20.297,110.3,20.292,110.295,20.302,110.305,55.18275784,37.03540795,915,510
157,20.297,110.31,20.292,110.305,20.302,110.315,55.23504315,37.07049876,915,495
158,20.297,110.32,20.292,110.315,20.302,110.325,55.14343668,37.0090179,930,495
159,20.297,110.33,20.292,110.325,20.302,110.335,55.29501719,37.11074979,930,495
160,20.297,110.34,20.292,110.335,20.302,110.345,55.20619788,37.05113952,930,495
161,20.297,110.35,20.292,110.345,20.302,110.355,55.36549778,37.1580522,915,495
162,20.307,109.94,20.302,109.935,20.312,109.945,53.9756381,36.22526047,825,375
163,20.307,109.95,20.302,109.945,20.312,109.955,53.64223772,36.00150183,810,390
164,20.307,109.96,20.302,109.955,20.312,109.965,53.26498143,35.74830968,810,390
165,20.307,109.97,20.302,109.965,20.312,109.975,52.88634433,35.49419082,825,375
166,20.307,109.98,20.302,109.975,20.312,109.985,52.64948896,35.33522749,825,375
167,20.307,109.99,20.302,109.985,20.312,109.995,53.53506307,35.92957253,810,375
168,20.307,110,20.302,109.995,20.312,110.005,54.02564752,36.25882384,810,375
169,20.307,110.01,20.302,110.005,20.312,110.015,54.16696549,36.35366811,810,360
170,20.307,110.02,20.302,110.015,20.312,110.025,54.70218991,36.71287914,810,375
171,20.307,110.03,20.302,110.025,20.312,110.035,54.42311273,36.52557901,810,375
