Id,glat,glon,lat1,lon1,lat2,lon2,vmax_gust,vmax_sust,gust_dur,sust_dur
222,20.317,110.07,20.312,110.065,20.322,110.075,36.31116047,24.36990635,1095,405
223,20.317,110.08,20.312,110.075,20.322,110.085,36.41221432,24.43772773,1110,405
224,20.317,110.09,20.312,110.085,20.322,110.095,36.50924584,24.50284955,1110,420
225,20.317,110.1,20.312,110.095,20.322,110.105,36.61030832,24.57067672,1110,420
226,20.317,110.11,20.312,110.105,20.322,110.115,36.71159443,24.63865398,1110,420
227,20.317,110.12,20.312,110.115,20.322,110.125,36.81205073,24.70607432,1110,420
228,20.317,110.13,20.312,110.125,20.322,110.135,36.91163734,24.77291097,1125,435
229,20.317,110.14,20.312,110.135,20.322,110.145,37.01031339,24.83913651,1125,435
230,20.317,110.15,20.312,110.145,20.322,110.155,37.10803713,24.9047229,1125,435
231,20.317,110.16,20.312,110.155,20.322,110.165,37.20476586,24.96964152,1125,450
232,20.317,110.17,20.312,110.165,20.322,110.175,37.30045604,25.03386312,1140,450
233,20.317,110.18,20.312,110.175,20.322,110.185,37.39506329,25.09735791,1140,450
234,20.317,110.19,20.312,110.185,20.322,110.195,37.4885424,25.16009557,1140,450
235,20.317,110.2,20.312,110.195,20.322,110.205,37.58084743,25.22204525,1140,465
236,20.317,110.21,20.312,110.205,20.322,110.215,37.67193169,25.28317563,1155,465
237,20.317,110.22,20.312,110.215,20.322,110.225,37.76174785,25.34345493,1155,465
238,20.317,110.23,20.312,110.225,20.322,110.235,37.85024796,25.40285098,1140,480
239,20.317,110.24,20.312,110.235,20.322,110.245,37.93738351,25.46133121,1140,480
240,20.317,110.25,20.312,110.245,20.322,110.255,38.02310551,25.51886276,1155,480
241,20.317,110.26,20.312,110.255,20.322,110.265,38.10736455,25.57541245,1155,495
242,20.317,110.27,20.312,110.265,20.322,110.275,38.19011087,25.63094689,1155,495
243,20.317,110.28,20.312,110.275,20.322,110.285,38.27129444,25.68543251,1155,495
244,20.317,110.29,20.312,110.285,20.322,110.295,38.35086506,25.73883561,1155,510
245,20.317,110.3,20.312,110.295,20.322,110.305,38.42877241,25.79112242,1170,510
246,20.317,110.31,20.312,110.305,20.322,110.315,38.50496617,25.84225917,1170,510
247,20.317,110.32,20.312,110.315,20.322,110.325,38.57939609,25.89221214,1170,525
248,20.317,110.33,20.312,110.325,20.322,110.335,38.65201213,25.94094774,1170,525
249,20.317,110.34,20.312,110.335,20.322,110.345,38.72636743,25.99085062,1185,510
250,20.317,110.35,20.312,110.345,20.322,110.355,38.80389071,26.04287967,1185,525
251,20.317,110.36,20.312,110.355,20.322,110.365,38.8795969,26.0936892,1185,525
252,20.317,110.37,20.312,110.365,20.322,110.375,38.95343298,26.14324361,1185,525
253,20.317,110.38,20.312,110.375,20.322,110.385,39.02534622,26.19150753,1200,540
